track,model,split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp,n_rows,threshold_policy,recall_target,inference_time_seconds,inference_rows_per_second,note
candidate_pool_stage2_weighted,classical_logistic_regression,train,0.0037140501398812,0.3240089340882697,0.0085081218342477,0.8977939514001787,0.016856499717148,0.6561340709894498,0.0098041185514639,0.6797188122967159,0.1022060485998212,9157800.0,19435200.0,18986.0,166776.0,328727.0,recall_target_precision_max,0.9,0.4644883850014594,707718.4502664522,
candidate_pool_stage2_weighted,classical_logistic_regression,valid,0.0037140501398812,0.3246989586702505,0.0116061026251531,0.9001972108747711,0.0229167432440791,0.656291370316802,0.0133946334712124,0.6804088266549978,0.0998027891252289,2045000.0,4353800.0,5668.0,51124.0,88786.0,recall_target_precision_max,0.9,0.0981708029994479,904403.3183725644,
candidate_pool_stage2_weighted,classical_logistic_regression,test,0.0037140501398812,0.3057776702128459,0.0168748508072221,0.9252482816054094,0.0331451933926012,0.6718203438365791,0.0197043626176577,0.7022930431403032,0.0747517183945906,1838400.0,4336800.0,6014.0,74439.0,111329.0,recall_target_precision_max,0.9,0.1620866229986859,686848.7845594918,
candidate_pool_stage2_weighted,classical_hist_gradient_boosting,train,0.0036593666275194,0.5286684673927252,0.0121518479233689,0.8969757000893617,0.0239788406418208,0.8150412229697984,0.0553158519436957,0.4737243381247158,0.1030242999106383,15047800.0,13545200.0,19138.0,166624.0,328727.0,recall_target_precision_max,0.9,1.2185598369997024,269766.8099823319,
candidate_pool_stage2_weighted,classical_hist_gradient_boosting,valid,0.0036593666275194,0.5082599705805447,0.0158758652003357,0.9001091703056768,0.0312014089738155,0.8099129058353781,0.0602229900972385,0.4952178533475027,0.0998908296943231,3230000.0,3168800.0,5673.0,51119.0,88786.0,recall_target_precision_max,0.9,0.317992502999914,279207.840318248,
candidate_pool_stage2_weighted,classical_hist_gradient_boosting,test,0.0036593666275194,0.516698736326967,0.0237217299436023,0.9109417921022211,0.0462393464105483,0.8328715011527057,0.0989875829548728,0.4884376214535562,0.0890582078977788,3159000.0,3016200.0,7165.0,73288.0,111329.0,recall_target_precision_max,0.9,0.4116183930000261,270466.5337926066,
candidate_pool_stage2_weighted,classical_random_forest,train,0.0033652057807777,0.5652584360647619,0.0132406717470044,0.9024342976496808,0.026098422929024,0.8377149538093722,0.1015378612622592,0.4369321162522295,0.0975657023503192,16099800.0,12493200.0,18124.0,167638.0,328727.0,recall_target_precision_max,0.9,1.2754600039988873,257732.11152788668,
candidate_pool_stage2_weighted,classical_random_forest,valid,0.0033652057807777,0.5392727731244478,0.0169303496179287,0.9002148189885899,0.0332356362730971,0.8173718429698701,0.0527567532713399,0.46393073701319,0.09978518101141,3430200.0,2968600.0,5667.0,51125.0,88786.0,recall_target_precision_max,0.9,0.3464879139992263,256245.59014257064,
candidate_pool_stage2_weighted,classical_random_forest,test,0.0033652057807777,0.5493271445842665,0.0254366509564735,0.9123339092389344,0.0494933839685265,0.8398757444781595,0.0793666836335868,0.4554022541780023,0.0876660907610654,3363000.0,2812200.0,7053.0,73400.0,111329.0,recall_target_precision_max,0.9,0.47747211999922,233163.35203023345,
estimated_full_hybrid_pipeline,phase3b_screener_plus_classical_logistic_regression,test,0.0037140501398812,0.9324775836567036,0.0168748508072221,0.8261361744631264,0.0330741218622704,,,0.0672004074419833,0.1738638255368736,60198523.0,4336800.0,15666.0,74439.0,64637438.0,,,,,Estimated by combining Phase 3B full screening counts with weighted Stage 2 candidate-pool confusion matrix.
estimated_full_hybrid_pipeline,phase3b_screener_plus_classical_hist_gradient_boosting,test,0.0036593666275194,0.9528906606725348,0.0237217299436023,0.8133621885577936,0.0460989818508217,,,0.0467371953805825,0.1866378114422063,61519123.0,3016200.0,16817.0,73288.0,64637438.0,,,,,Estimated by combining Phase 3B full screening counts with weighted Stage 2 candidate-pool confusion matrix.
estimated_full_hybrid_pipeline,phase3b_screener_plus_classical_random_forest,test,0.0033652057807777,0.9560484590988894,0.0254366509564735,0.8146051828422396,0.049332847174031,,,0.0435761358163497,0.1853948171577603,61723123.0,2812200.0,16705.0,73400.0,64637438.0,,,,,Estimated by combining Phase 3B full screening counts with weighted Stage 2 candidate-pool confusion matrix.
reduced_quantum_compatible_classical,reduced_logistic_regression,train,0.0047467163956407,0.1499004975124378,0.0051273087455573,0.88,0.010195215200139,0.5206609375,0.0091185964137554,0.85375,0.12,23400.0,136600.0,96.0,704.0,1600.0,recall_target_precision_max,0.8,0.0004272500009392,3744880.038578498,
reduced_quantum_compatible_classical,reduced_logistic_regression,valid,0.0047467163956407,0.1686318407960199,0.0053307126477858,0.895,0.0105983007193818,0.53901875,0.0107191600856629,0.835,0.105,13200.0,66800.0,42.0,358.0,800.0,recall_target_precision_max,0.8,0.0003073469997616,2602921.130254762,
reduced_quantum_compatible_classical,reduced_logistic_regression,test,0.0047467163956407,0.124049751243781,0.0052788045259814,0.934,0.010498274641159,0.514232,0.0069025004865231,0.88,0.066,12000.0,88000.0,33.0,467.0,1000.0,recall_target_precision_max,0.8,0.0003020770000148,3310414.2319703125,
reduced_quantum_compatible_classical,reduced_svm_rbf,train,0.494977430949049,0.1003047263681592,0.0050162046116053,0.91125,0.009977485646244,0.5189390625,0.0065403940777125,0.90375,0.08875,15400.0,144600.0,71.0,729.0,1600.0,recall_target_precision_max,0.8,0.0870714770007907,18375.70758085876,
reduced_quantum_compatible_classical,reduced_svm_rbf,valid,0.494977430949049,0.1215298507462686,0.0052274872835383,0.9275,0.0103963794818623,0.5353437500000001,0.0057761037056529,0.8825,0.0725,9400.0,70600.0,29.0,371.0,800.0,recall_target_precision_max,0.8,0.0436142180005845,18342.642300482803,
