track,model,feature_state_time_seconds,kernel_matrix_time_seconds,training_time_seconds,train_rows,valid_rows,test_rows,available_ram_gb,optimizer_success,optimizer_message,optimizer_final_loss,vqc_train_rows_used,train_rows_scored
quantum_statevector_reduced_features,quantum_kernel_svc_statevector,0.4327505600012955,0.08781889999954728,0.04572463700060325,1600.0,800,1000,31.3506,,,,,
quantum_statevector_reduced_features,variational_quantum_classifier_statevector,0.4327505600012955,,7.970479923000312,,800,1000,31.3506,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,0.03134740346994327,600.0,1600.0
