model_group,purpose,i,j,circuit_index,depth_transpiled,size_transpiled,ops_transpiled
kernel_svc,valid_kernel,0,1,56,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,0,2,57,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,0,3,58,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,0,4,59,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,0,5,60,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,0,6,61,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,0,7,62,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,0,8,63,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,0,9,64,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,0,65,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,1,66,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,2,67,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,3,68,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,4,69,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,5,70,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,6,71,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,7,72,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,8,73,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,9,74,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,0,75,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,1,76,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,2,77,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,3,78,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,4,79,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,5,80,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,6,81,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,7,82,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,8,83,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,9,84,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,0,85,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,1,86,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,2,87,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,3,88,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,4,89,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,5,90,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,6,91,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,7,92,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,8,93,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,9,94,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,0,95,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,1,96,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,2,97,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,3,98,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,4,99,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,5,100,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,6,101,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,7,102,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,8,103,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,9,104,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,0,105,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,1,106,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,2,107,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,3,108,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,4,109,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,5,110,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,6,111,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,7,112,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,8,113,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,9,114,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,0,115,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,1,116,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,2,117,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,3,118,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,4,119,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,5,120,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,6,121,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,7,122,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,8,123,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,9,124,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,7,0,125,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,7,1,126,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,7,2,127,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,7,3,128,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,7,4,129,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,7,5,130,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
