model_group,purpose,i,j,circuit_index,n_qubits,n_clbits,depth_untranspiled,size_untranspiled,ops_untranspiled
kernel_svc,valid_kernel,0,2,57,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,0,3,58,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,0,4,59,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,0,5,60,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,0,6,61,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,0,7,62,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,0,8,63,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,0,9,64,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,0,65,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,1,66,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,2,67,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,3,68,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,4,69,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,5,70,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,6,71,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,7,72,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,8,73,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,1,9,74,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,0,75,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,1,76,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,2,77,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,3,78,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,4,79,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,5,80,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,6,81,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,7,82,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,8,83,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,2,9,84,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,0,85,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,1,86,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,2,87,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,3,88,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,4,89,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,5,90,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,6,91,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,7,92,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,8,93,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,3,9,94,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,0,95,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,1,96,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,2,97,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,3,98,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,4,99,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,5,100,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,6,101,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,7,102,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,8,103,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,4,9,104,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,0,105,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,1,106,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,2,107,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,3,108,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,4,109,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,5,110,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,6,111,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,7,112,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,8,113,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,5,9,114,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,0,115,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,1,116,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,2,117,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,3,118,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,4,119,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,5,120,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,6,121,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,7,122,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,8,123,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,6,9,124,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,7,0,125,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,7,1,126,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,7,2,127,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,7,3,128,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,7,4,129,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,7,5,130,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,7,6,131,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,7,7,132,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,7,8,133,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,7,9,134,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,0,135,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,1,136,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,2,137,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,3,138,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,4,139,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,5,140,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,6,141,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,7,142,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,8,143,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,8,9,144,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,0,145,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,1,146,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,2,147,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,3,148,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,4,149,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,5,150,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,6,151,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,7,152,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,8,153,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,valid_kernel,9,9,154,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,0,155,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,1,156,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,2,157,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,3,158,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,4,159,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,5,160,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,6,161,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,7,162,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,8,163,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,0,9,164,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,0,165,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,1,166,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,2,167,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,3,168,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,4,169,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,5,170,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,6,171,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,7,172,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,8,173,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,1,9,174,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,2,0,175,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,2,1,176,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,2,2,177,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,2,3,178,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,2,4,179,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,2,5,180,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,2,6,181,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,2,7,182,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,2,8,183,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,2,9,184,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,0,185,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,1,186,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,2,187,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,3,188,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,4,189,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,5,190,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,6,191,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,7,192,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,8,193,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,9,194,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,0,195,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,1,196,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,2,197,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,3,198,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,4,199,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,5,200,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,6,201,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,7,202,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,8,203,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,9,204,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,0,205,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,1,206,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,2,207,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,3,208,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,4,209,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,5,210,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,6,211,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,7,212,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,8,213,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,9,214,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,0,215,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,1,216,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,2,217,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,3,218,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,4,219,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,5,220,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,6,221,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,7,222,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,8,223,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,9,224,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,0,225,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,1,226,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,2,227,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,3,228,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,4,229,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,5,230,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,6,231,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,7,232,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,8,233,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,9,234,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,8,0,235,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,8,1,236,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,8,2,237,4,4,3,12,"{'ry': 8, 'measure': 4, 'barrier': 1}"
