track,model,stage1_model,stage2_model,n_qubits,n_circuits_or_state_evaluations,shots,feature_state_time_seconds,kernel_matrix_time_seconds,training_time_seconds,validation_inference_time_seconds,test_inference_time_seconds,total_runtime_seconds,train_rows,valid_rows,test_rows,compute_cost_type,vqc_layers,vqc_final_loss,vqc_optimizer_success
isolation_forest_plus_quantum,isolation_forest_plus_quantum_kernel_svc_statevector,Isolation Forest,Quantum Kernel SVC Statevector,4,1100,,0.07224677900012466,0.02212680899992847,0.0075795200000357,0.001283999999941443,0.0007265900003403658,0.10396369800037064,500,300,300,Isolation Forest candidate-pool + quantum statevector simulation on classical hardware,,,
isolation_forest_plus_quantum,isolation_forest_plus_vqc_statevector,Isolation Forest,VQC Statevector,4,1100,,0.07224677900012466,,0.46757981900009327,0.002289409999320924,0.0024326200000359677,0.5445486279995748,500,300,300,Isolation Forest candidate-pool + VQC statevector simulation on classical hardware,2.0,0.5694679417166376,False
