model_group,purpose,i,j,circuit_index,counts_json,shots_observed
kernel_svc,train_kernel,2,7,24,"{""0000"": 154, ""1000"": 76, ""0100"": 6, ""0001"": 13, ""1001"": 7}",256
kernel_svc,train_kernel,2,8,25,"{""0000"": 147, ""0001"": 13, ""1000"": 84, ""1001"": 9, ""0010"": 1, ""0100"": 2}",256
kernel_svc,train_kernel,2,9,26,"{""0001"": 13, ""1000"": 32, ""0000"": 202, ""1001"": 6, ""1100"": 1, ""0010"": 2}",256
kernel_svc,train_kernel,3,3,27,"{""0000"": 243, ""0001"": 12, ""1000"": 1}",256
kernel_svc,train_kernel,3,4,28,"{""0000"": 219, ""0010"": 3, ""0001"": 20, ""1000"": 11, ""1101"": 1, ""0100"": 2}",256
kernel_svc,train_kernel,3,5,29,"{""0001"": 24, ""0000"": 218, ""1000"": 10, ""0010"": 4}",256
kernel_svc,train_kernel,3,6,30,"{""0000"": 213, ""1000"": 14, ""0001"": 22, ""0101"": 1, ""1001"": 2, ""0100"": 2, ""0010"": 2}",256
kernel_svc,train_kernel,3,7,31,"{""0000"": 221, ""0001"": 14, ""1000"": 18, ""1001"": 2, ""0100"": 1}",256
kernel_svc,train_kernel,3,8,32,"{""0000"": 202, ""0001"": 31, ""1001"": 4, ""1000"": 17, ""0010"": 2}",256
kernel_svc,train_kernel,3,9,33,"{""0000"": 218, ""0100"": 3, ""0001"": 31, ""1000"": 2, ""0010"": 1, ""1001"": 1}",256
kernel_svc,train_kernel,4,4,34,"{""0000"": 242, ""0001"": 12, ""0100"": 1, ""1000"": 1}",256
kernel_svc,train_kernel,4,5,35,"{""0000"": 210, ""1000"": 24, ""0001"": 18, ""1001"": 3, ""0101"": 1}",256
kernel_svc,train_kernel,4,6,36,"{""0000"": 245, ""0001"": 11}",256
kernel_svc,train_kernel,4,7,37,"{""0010"": 4, ""0000"": 182, ""1000"": 43, ""0001"": 20, ""1100"": 1, ""0011"": 1, ""1001"": 2, ""1011"": 1, ""0100"": 2}",256
kernel_svc,train_kernel,4,8,38,"{""0000"": 166, ""0010"": 2, ""1000"": 64, ""0001"": 19, ""1001"": 2, ""1100"": 1, ""0100"": 2}",256
kernel_svc,train_kernel,4,9,39,"{""0000"": 222, ""1000"": 24, ""0001"": 10}",256
kernel_svc,train_kernel,5,5,40,"{""0001"": 13, ""0000"": 242, ""1000"": 1}",256
kernel_svc,train_kernel,5,6,41,"{""0000"": 203, ""1000"": 33, ""0001"": 16, ""1001"": 3, ""0100"": 1}",256
kernel_svc,train_kernel,5,7,42,"{""0000"": 223, ""0001"": 28, ""0010"": 2, ""0100"": 2, ""0011"": 1}",256
kernel_svc,train_kernel,5,8,43,"{""0000"": 230, ""0001"": 19, ""1000"": 5, ""0010"": 1, ""0100"": 1}",256
kernel_svc,train_kernel,5,9,44,"{""0000"": 236, ""0001"": 16, ""1000"": 4}",256
kernel_svc,train_kernel,6,6,45,"{""0000"": 235, ""1001"": 1, ""0001"": 20}",256
kernel_svc,train_kernel,6,7,46,"{""0000"": 180, ""1000"": 47, ""1001"": 3, ""0001"": 22, ""0100"": 2, ""1010"": 1, ""0010"": 1}",256
kernel_svc,train_kernel,6,8,47,"{""0000"": 164, ""1000"": 66, ""0001"": 12, ""1001"": 10, ""0010"": 3, ""0011"": 1}",256
kernel_svc,train_kernel,6,9,48,"{""0000"": 212, ""0001"": 14, ""1000"": 25, ""1001"": 3, ""1010"": 1, ""0100"": 1}",256
kernel_svc,train_kernel,7,7,49,"{""0000"": 238, ""0001"": 18}",256
kernel_svc,train_kernel,7,8,50,"{""0001"": 28, ""0010"": 4, ""0000"": 219, ""1000"": 4, ""1100"": 1}",256
kernel_svc,train_kernel,7,9,51,"{""0000"": 225, ""0001"": 25, ""0010"": 2, ""1000"": 2, ""0100"": 1, ""1001"": 1}",256
kernel_svc,train_kernel,8,8,52,"{""0000"": 239, ""0001"": 16, ""1000"": 1}",256
kernel_svc,train_kernel,8,9,53,"{""0000"": 216, ""0001"": 19, ""1000"": 16, ""1001"": 3, ""0100"": 1, ""0010"": 1}",256
kernel_svc,train_kernel,9,9,54,"{""0000"": 232, ""0001"": 22, ""0100"": 1, ""1000"": 1}",256
kernel_svc,valid_kernel,0,0,55,"{""0000"": 232, ""1000"": 13, ""0001"": 10, ""0101"": 1}",256
kernel_svc,valid_kernel,0,1,56,"{""0000"": 184, ""0100"": 16, ""1000"": 38, ""0001"": 10, ""1100"": 2, ""0101"": 1, ""1001"": 3, ""0010"": 2}",256
kernel_svc,valid_kernel,0,2,57,"{""0000"": 137, ""1001"": 14, ""1000"": 94, ""0001"": 8, ""0100"": 2, ""1100"": 1}",256
kernel_svc,valid_kernel,0,3,58,"{""0000"": 201, ""1000"": 34, ""0001"": 16, ""0100"": 1, ""1001"": 3, ""1100"": 1}",256
kernel_svc,valid_kernel,0,4,59,"{""1000"": 70, ""0000"": 164, ""0001"": 12, ""0100"": 5, ""1001"": 4, ""1100"": 1}",256
kernel_svc,valid_kernel,0,5,60,"{""0000"": 228, ""1000"": 3, ""1001"": 2, ""0001"": 17, ""0100"": 4, ""0010"": 2}",256
kernel_svc,valid_kernel,0,6,61,"{""1000"": 65, ""0000"": 161, ""0001"": 16, ""1100"": 2, ""1001"": 5, ""0100"": 6, ""1101"": 1}",256
kernel_svc,valid_kernel,0,7,62,"{""0000"": 238, ""1001"": 1, ""0001"": 16, ""1000"": 1}",256
kernel_svc,valid_kernel,0,8,63,"{""0000"": 220, ""1000"": 3, ""0001"": 25, ""1001"": 2, ""0100"": 1, ""0010"": 4, ""0011"": 1}",256
kernel_svc,valid_kernel,0,9,64,"{""0000"": 221, ""1000"": 15, ""0010"": 1, ""0001"": 18, ""0100"": 1}",256
kernel_svc,valid_kernel,1,0,65,"{""0000"": 190, ""1000"": 38, ""0001"": 20, ""0100"": 3, ""1001"": 3, ""1100"": 1, ""1101"": 1}",256
kernel_svc,valid_kernel,1,1,66,"{""0000"": 215, ""0100"": 9, ""1000"": 9, ""0001"": 20, ""0011"": 1, ""0101"": 1, ""0010"": 1}",256
kernel_svc,valid_kernel,1,2,67,"{""0000"": 238, ""1000"": 3, ""0001"": 15}",256
kernel_svc,valid_kernel,1,3,68,"{""0000"": 206, ""0001"": 25, ""1001"": 3, ""1000"": 17, ""0100"": 4, ""0010"": 1}",256
kernel_svc,valid_kernel,1,4,69,"{""0001"": 16, ""0000"": 235, ""1000"": 4, ""0100"": 1}",256
kernel_svc,valid_kernel,1,5,70,"{""0000"": 182, ""1000"": 46, ""0001"": 20, ""1001"": 6, ""1100"": 1, ""0010"": 1}",256
kernel_svc,valid_kernel,1,6,71,"{""0000"": 235, ""1000"": 2, ""0010"": 1, ""0001"": 17, ""0100"": 1}",256
kernel_svc,valid_kernel,1,7,72,"{""0001"": 15, ""0000"": 173, ""1000"": 58, ""1001"": 4, ""0100"": 3, ""0101"": 1, ""0010"": 1, ""1010"": 1}",256
kernel_svc,valid_kernel,1,8,73,"{""0000"": 144, ""1000"": 82, ""0001"": 22, ""0100"": 4, ""1001"": 2, ""0010"": 2}",256
kernel_svc,valid_kernel,1,9,74,"{""0000"": 208, ""1000"": 27, ""1001"": 2, ""0001"": 18, ""0010"": 1}",256
kernel_svc,valid_kernel,2,0,75,"{""0001"": 27, ""0000"": 224, ""1000"": 1, ""0010"": 1, ""0100"": 1, ""1001"": 1, ""0011"": 1}",256
kernel_svc,valid_kernel,2,1,76,"{""0000"": 201, ""0001"": 21, ""0100"": 17, ""1000"": 12, ""0010"": 2, ""1100"": 1, ""1001"": 1, ""0101"": 1}",256
kernel_svc,valid_kernel,2,2,77,"{""0000"": 186, ""1000"": 52, ""1001"": 2, ""0001"": 16}",256
kernel_svc,valid_kernel,2,3,78,"{""0000"": 222, ""0001"": 20, ""0010"": 5, ""0011"": 1, ""1001"": 3, ""1000"": 4, ""1010"": 1}",256
kernel_svc,valid_kernel,2,4,79,"{""1000"": 27, ""0000"": 210, ""0001"": 18, ""1001"": 1}",256
kernel_svc,valid_kernel,2,5,80,"{""0000"": 236, ""0001"": 17, ""0100"": 1, ""1000"": 2}",256
kernel_svc,valid_kernel,2,6,81,"{""0000"": 198, ""1000"": 37, ""0100"": 2, ""0001"": 14, ""1001"": 3, ""1100"": 2}",256
kernel_svc,valid_kernel,2,7,82,"{""0000"": 226, ""0001"": 22, ""0010"": 3, ""0100"": 1, ""1000"": 3, ""1001"": 1}",256
kernel_svc,valid_kernel,2,8,83,"{""0000"": 232, ""0001"": 17, ""1000"": 5, ""1001"": 1, ""1100"": 1}",256
kernel_svc,valid_kernel,2,9,84,"{""0000"": 246, ""0010"": 1, ""0001"": 8, ""0100"": 1}",256
kernel_svc,valid_kernel,3,0,85,"{""0001"": 22, ""0000"": 227, ""0010"": 2, ""1000"": 4, ""0101"": 1}",256
kernel_svc,valid_kernel,3,1,86,"{""0000"": 213, ""0100"": 11, ""0001"": 20, ""0010"": 2, ""0101"": 1, ""1000"": 9}",256
kernel_svc,valid_kernel,3,2,87,"{""0000"": 201, ""0001"": 15, ""1001"": 4, ""0100"": 1, ""1000"": 34, ""0010"": 1}",256
kernel_svc,valid_kernel,3,3,88,"{""0000"": 215, ""0001"": 32, ""1000"": 6, ""1001"": 1, ""0010"": 1, ""0100"": 1}",256
kernel_svc,valid_kernel,3,4,89,"{""0000"": 227, ""1000"": 13, ""0001"": 12, ""0100"": 3, ""1001"": 1}",256
kernel_svc,valid_kernel,3,5,90,"{""0000"": 238, ""0001"": 12, ""0010"": 1, ""1000"": 4, ""0100"": 1}",256
kernel_svc,valid_kernel,3,6,91,"{""0000"": 211, ""0100"": 2, ""1000"": 21, ""0001"": 19, ""1001"": 3}",256
kernel_svc,valid_kernel,3,7,92,"{""0000"": 225, ""1000"": 8, ""0001"": 18, ""0010"": 1, ""0100"": 4}",256
