model,evaluation_type,backend_name,job_id,n_qubits,n_circuits,shots,training_time_seconds,validation_inference_time_seconds,test_inference_time_seconds,other_inference_time_seconds,feature_state_time_seconds,kernel_matrix_time_seconds,total_runtime_seconds,transpile_time_seconds,wait_for_result_time_seconds,total_turnaround_time_seconds,ibm_quantum_seconds,ibm_usage_seconds,ibm_bss_seconds,avg_untranspiled_depth,avg_transpiled_depth,avg_untranspiled_size,avg_transpiled_size,train_rows,test_rows,available_ram_gb,compute_cost_type,source_file
VQC IBM Hardware,Real IBM Quantum hardware,ibm_kingston,d8kaffrqv2lc73851sog,4,80.0,1024,,,,,,,,6.320523,31.047649,33.495537,24.0,24.0,24.0,13.0,95.0,28.0,159.0,,80,,Real IBM QPU cost measured by quantum seconds and turnaround time,reports\phase6\phase6_hardware_job_metadata.json
Quantum Kernel SVC,Statevector simulation,,,4,,statevector_exact,0.045725,,,,0.432751,0.087819,0.566294,,,,,,,,,,,1600.0,1000,31.3506,Quantum simulation cost on classical hardware; no IBM QPU cost,reports\phase4\phase4_master_runtime_comparison.csv
VQC Statevector,Statevector simulation,,,4,,statevector_exact,7.97048,,,,0.432751,,8.40323,,,,,,,,,,,,1000,31.3506,Quantum simulation cost on classical hardware; no IBM QPU cost,reports\phase4\phase4_master_runtime_comparison.csv
