model,accuracy,f1_score,precision,recall,pr_auc,roc_auc,fpr,fnr,tn,fp,fn,tp,confusion_matrix,threshold,n_rows
Isolation Forest + Quantum Kernel SVC IBM Hardware,0.7,0.769231,0.625,1.0,0.525952,0.52,0.6,0.0,2.0,3.0,0.0,5.0,"TN=2, FP=3, FN=0, TP=5",-0.65699,10
Isolation Forest + VQC IBM Hardware,0.6,0.666667,0.571429,0.8,0.668333,0.72,0.6,0.2,2.0,3.0,1.0,4.0,"TN=2, FP=3, FN=1, TP=4",0.26375,10
