model,stage1_model,stage2_model,backend_name,job_id,n_qubits,shots,model_circuits,total_submitted_circuits,kernel_train_time_seconds,transpile_time_seconds,wait_for_result_time_seconds,total_turnaround_time_seconds,ibm_quantum_seconds,ibm_usage_seconds,train_rows,valid_rows,test_rows,compute_cost_type
Isolation Forest + Quantum Kernel SVC IBM Hardware,Isolation Forest,Quantum Kernel SVC IBM Hardware,ibm_kingston,d8kpcsjnn5bs738r5otg,4,256,255,275,0.002196,13.313847,32.800988,35.763228,21,21,10,10,10,"Real IBM QPU hardware cost measured by circuits, shots, turnaround time, and quantum seconds"
Isolation Forest + VQC IBM Hardware,Isolation Forest,VQC IBM Hardware,ibm_kingston,d8kpcsjnn5bs738r5otg,4,256,20,275,,13.313847,32.800988,35.763228,21,21,10,10,10,"Real IBM QPU hardware cost measured by circuits, shots, turnaround time, and quantum seconds"
