model,stage1_model,stage2_model,backend_name,job_id,n_qubits,shots,model_circuits,total_submitted_circuits,kernel_train_time_seconds,transpile_time_seconds,wait_for_result_time_seconds,total_turnaround_time_seconds,ibm_quantum_seconds,ibm_usage_seconds,train_rows,valid_rows,test_rows,compute_cost_type
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",Isolation Forest,Quantum Kernel SVC IBM Hardware,ibm_marrakesh,d8m1b8j2d42s73cc25eg,4,256,3155,3155,0.002536,141.406927,300.582071,310.961635,220,220,10,10,300,"Real IBM QPU hardware cost measured by circuits, shots, turnaround time, and quantum seconds"
"Isolation Forest + VQC IBM Hardware, 300-sample split test",Isolation Forest,VQC IBM Hardware,ibm_fez,d8m27grnn5bs738spkag,4,256,310,310,,15.330692,109.70137,112.905879,23,23,10,10,300,"Real IBM QPU hardware cost measured by circuits, shots, turnaround time, and quantum seconds"
