model,accuracy,f1_score,precision,recall,pr_auc,roc_auc,fpr,fnr,tn,fp,fn,tp,confusion_matrix,threshold,n_rows
"Isolation Forest + Quantum Kernel SVC IBM Hardware, 300-sample split test",0.75,0.794521,0.674419,0.966667,0.67547,0.761067,0.466667,0.033333,80.0,70.0,5.0,145.0,"TN=80, FP=70, FN=5, TP=145",0.350108,300
"Isolation Forest + VQC IBM Hardware, 300-sample split test",0.75,0.794521,0.674419,0.966667,0.652829,0.733356,0.466667,0.033333,80.0,70.0,5.0,145.0,"TN=80, FP=70, FN=5, TP=145",0.508125,300
