scope,model,model_type,threshold,best_epoch,best_valid_f1,accuracy,precision,recall,f1_score,fpr,fnr,roc_auc,pr_auc,tn,fp,fn,tp,n_rows,predicted_positive_rate,actual_positive_rate
same_reduced_four_feature_subset,FT-Transformer-style Tabular Classifier,Transformer-based tabular baseline,0.530569,8,0.753846,0.663333,0.60166,0.966667,0.741688,0.64,0.033333,0.672978,0.581617,54,96,5,145,300,0.803333,0.5
same_reduced_four_feature_subset,AutoInt-style Attention Tabular Classifier,Transformer-based tabular baseline,0.561067,10,0.753846,0.663333,0.60166,0.966667,0.741688,0.64,0.033333,0.672622,0.579514,54,96,5,145,300,0.803333,0.5
