sample_index,label,counts_json,shots_observed
21,1,"{""1001"": 20, ""1011"": 492, ""0011"": 341, ""1100"": 8, ""0110"": 10, ""1111"": 37, ""0001"": 12, ""1010"": 7, ""0111"": 56, ""0100"": 15, ""0101"": 5, ""1110"": 7, ""1101"": 6, ""0000"": 3, ""1000"": 3, ""0010"": 2}",1024
22,1,"{""1011"": 778, ""0101"": 2, ""0111"": 59, ""0011"": 55, ""1110"": 25, ""1010"": 5, ""1001"": 8, ""1111"": 23, ""0100"": 23, ""0001"": 20, ""0010"": 7, ""0000"": 2, ""0110"": 6, ""1101"": 5, ""1100"": 4, ""1000"": 2}",1024
23,1,"{""1011"": 636, ""0100"": 17, ""0011"": 197, ""0101"": 5, ""1010"": 6, ""1111"": 57, ""1110"": 12, ""0111"": 41, ""1001"": 15, ""1100"": 4, ""1000"": 2, ""0001"": 12, ""0000"": 1, ""0110"": 13, ""1101"": 3, ""0010"": 3}",1024
24,1,"{""1011"": 741, ""0100"": 11, ""0011"": 116, ""1001"": 11, ""0111"": 44, ""0001"": 24, ""1110"": 25, ""1111"": 24, ""1010"": 5, ""0000"": 2, ""1100"": 2, ""1101"": 2, ""0110"": 10, ""0010"": 4, ""0101"": 3}",1024
25,1,"{""1011"": 576, ""0001"": 19, ""0011"": 264, ""1010"": 5, ""1111"": 51, ""0000"": 3, ""0111"": 37, ""1001"": 14, ""0110"": 12, ""0100"": 10, ""0101"": 4, ""1110"": 17, ""1101"": 6, ""1100"": 3, ""0010"": 2, ""1000"": 1}",1024
26,1,"{""0100"": 21, ""1011"": 730, ""0011"": 104, ""1110"": 21, ""0001"": 19, ""1111"": 30, ""0111"": 45, ""1001"": 16, ""1101"": 5, ""0010"": 3, ""1010"": 5, ""0110"": 15, ""0000"": 2, ""1100"": 6, ""0101"": 1, ""1000"": 1}",1024
27,0,"{""0011"": 812, ""1100"": 15, ""1011"": 23, ""1111"": 59, ""1001"": 11, ""0110"": 28, ""0111"": 34, ""1010"": 2, ""0010"": 9, ""0101"": 4, ""1000"": 3, ""0001"": 10, ""1101"": 8, ""1110"": 4, ""0000"": 2}",1024
28,0,"{""1011"": 799, ""0111"": 53, ""0011"": 41, ""1001"": 18, ""1010"": 8, ""1110"": 17, ""0001"": 16, ""1111"": 27, ""0101"": 7, ""0000"": 1, ""0100"": 18, ""1101"": 4, ""1000"": 4, ""0110"": 8, ""0010"": 3}",1024
29,1,"{""1011"": 805, ""1010"": 10, ""0111"": 47, ""1100"": 2, ""0011"": 30, ""1111"": 30, ""1110"": 30, ""1000"": 2, ""1001"": 13, ""0010"": 4, ""0101"": 7, ""0110"": 11, ""0001"": 14, ""0100"": 16, ""1101"": 2, ""0000"": 1}",1024
30,1,"{""1011"": 803, ""0001"": 14, ""0111"": 52, ""1010"": 9, ""1110"": 30, ""0011"": 40, ""1111"": 28, ""1100"": 5, ""0100"": 10, ""1001"": 14, ""0101"": 2, ""0110"": 7, ""1000"": 2, ""1101"": 4, ""0000"": 2, ""0010"": 2}",1024
31,1,"{""0011"": 248, ""1011"": 615, ""1001"": 14, ""1111"": 42, ""1110"": 12, ""0100"": 16, ""0111"": 33, ""0110"": 10, ""0101"": 4, ""1100"": 4, ""1101"": 8, ""0001"": 9, ""1010"": 3, ""1000"": 2, ""0010"": 4}",1024
32,0,"{""1011"": 707, ""0101"": 4, ""0100"": 18, ""0001"": 23, ""0011"": 137, ""1111"": 33, ""1100"": 6, ""0111"": 48, ""0010"": 6, ""1110"": 19, ""1001"": 10, ""1101"": 3, ""1010"": 4, ""0110"": 6}",1024
33,0,"{""1011"": 796, ""1110"": 35, ""0011"": 36, ""0101"": 8, ""0111"": 54, ""0000"": 5, ""0001"": 18, ""1111"": 29, ""0010"": 5, ""1010"": 4, ""1001"": 9, ""0110"": 6, ""1101"": 2, ""0100"": 14, ""1000"": 3}",1024
