track,model,split,threshold,accuracy,precision,recall,f1,fpr,fnr,tn,fp,fn,tp,n_rows,inference_time_seconds,threshold_policy,recall_target
phase6_statevector_reference,phase6_vqc_statevector,train,0.004931297038199307,0.05249751243781094,0.004975124378109453,0.952,0.009898519381134587,0.952,0.048,2400.0,47600.0,12.0,238.0,500,0.07876754700009769,recall_target_precision_max,0.8
phase6_statevector_reference,phase6_vqc_statevector,valid,0.004931297038199307,0.038076285240464344,0.005077535336901331,0.9866666666666667,0.010103078708444263,0.9666666666666667,0.013333333333333334,1000.0,29000.0,2.0,148.0,300,0.04937948699989647,recall_target_precision_max,0.8
phase6_statevector_reference,phase6_vqc_statevector,test,0.004931297038199307,0.02447761194029851,0.004671947999187487,0.92,0.009296685529506871,0.98,0.08,400.0,19600.0,8.0,92.0,200,0.03219481199994334,recall_target_precision_max,0.8
