target_candidate_pct,threshold,split,total_rows,total_legit,total_fraud,candidate_rows,candidate_legit,candidate_fraud,actual_candidate_pct,fraud_retention,legit_pass_rate,base_fraud_prevalence,candidate_fraud_prevalence,enrichment_factor
0.1,0.7876329609654898,train,301646401,301417307,229094,28737699,28551937,185762,0.09526949071737806,0.8108549329096354,0.09472560578613358,0.0007594786453295029,0.006464052671718776,8.511171066454832
0.1,0.7876329609654898,valid,64637062,64570098,66964,6488075,6431283,56792,0.10037700971000198,0.848097485215937,0.09960156789602519,0.0010360000582947289,0.008753289689160499,8.449120846159547
0.1,0.7876329609654898,test,64637438,64547333,90105,6267663,6187210,80453,0.09696645154778566,0.8928805282725709,0.09585539343662736,0.001394006365165649,0.012836203860992526,9.208138629601743
0.2,0.24392068517543838,train,301646401,301417307,229094,58505628,58312773,192855,0.1939543379468333,0.8418160231171484,0.19346192685611116,0.0007594786453295029,0.003296349540936472,4.34027942879992
0.2,0.24392068517543838,valid,64637062,64570098,66964,12971094,12912573,58521,0.20067579804292465,0.8739173287139358,0.19997759644100277,0.0010360000582947289,0.0045116472057021555,4.3548715751313685
0.2,0.24392068517543838,test,64637438,64547333,90105,12686422,12604182,82240,0.19627049574582459,0.9127129460074358,0.1952703762369237,0.001394006365165649,0.006482521234119439,4.650280942834235
0.3,0.20166081968076038,train,301646401,301417307,229094,87727768,87529195,198573,0.2908298183209552,0.8667752101757358,0.29039206763266584,0.0007594786453295029,0.002263513645987209,2.9803519294544145
0.3,0.20166081968076038,valid,64637062,64570098,66964,19433947,19374157,59790,0.30066259818554253,0.8928678095693209,0.3000484372812939,0.0010360000582947289,0.0030765752319896725,2.96966704524492
0.3,0.20166081968076038,test,64637438,64547333,90105,19032606,18949110,83496,0.2944517386348141,0.9266522390544365,0.29356921687221377,0.001394006365165649,0.004386997765834064,3.147042851065289
0.4,0.17943432358783462,train,301646401,301417307,229094,116698736,116494842,203894,0.38687262839247333,0.8900014841069604,0.38649022234147956,0.0007594786453295029,0.0017471825915920803,2.300502591266484
0.4,0.17943432358783462,valid,64637062,64570098,66964,25928954,25867961,60993,0.4011468528690243,0.9108326862194612,0.40061827070480827,0.0010360000582947289,0.002352312399489775,2.270571686416423
0.4,0.17943432358783462,test,64637438,64547333,90105,25229153,25144532,84621,0.39031796093155796,0.9391376727151657,0.38955183477526484,0.001394006365165649,0.003354095953994175,2.4060836720753493
0.5,0.16260626611483847,train,301646401,301417307,229094,144880201,144671384,208817,0.4802981256189428,0.9114904798903507,0.4799703953296882,0.0007594786453295029,0.0014413080500902948,1.8977598105671258
0.5,0.16260626611483847,valid,64637062,64570098,66964,32319252,32257127,62125,0.5000111545911539,0.9277372916791111,0.49956757073529606,0.0010360000582947289,0.001922228893168691,1.855433190160923
0.5,0.16260626611483847,test,64637438,64547333,90105,31220725,31135034,85691,0.48301303340642926,0.9510127073969258,0.48235972817033357,0.001394006365165649,0.002744683219239784,1.9689172788774423
0.6,0.14766174578846247,train,301646401,301417307,229094,173339475,173125792,213683,0.5746445985277975,0.93273066950684,0.5743724330998684,0.0007594786453295029,0.0012327428590631188,1.6231435428026924
0.6,0.14766174578846247,valid,64637062,64570098,66964,38808645,38745337,63308,0.6004085550794372,0.9454035003882684,0.6000507696302397,0.0010360000582947289,0.0016312860188754336,1.5746003157186632
0.6,0.14766174578846247,test,64637438,64547333,90105,37302968,37216183,86785,0.5771108687816494,0.9631540979967815,0.5765719708357276,0.001394006365165649,0.002326490481936987,1.6689238586514856
0.7,0.13378694790016313,train,301646401,301417307,229094,201872285,201653822,218463,0.669234853559549,0.9535954673627419,0.6690187235997036,0.0007594786453295029,0.0010821842136477526,1.424904071105571
0.7,0.13378694790016313,valid,64637062,64570098,66964,45329128,45264674,64454,0.7012869489643573,0.9625171734066066,0.701016033768448,0.0010360000582947289,0.0014219113149496279,1.3725011920270684
0.7,0.13378694790016313,test,64637438,64547333,90105,43374311,43286424,87887,0.6710400712354967,0.9753842739026691,0.6706152212361741,0.001394006365165649,0.0020262454428382737,1.4535410264052102
