model,model_family,n_bootstrap,ci_basis,important_note,accuracy,precision,recall,f1_score,fpr,fnr,tn,fp,fn,tp,n_rows,pr_auc,roc_auc,accuracy_ci_lower,accuracy_ci_upper,accuracy_bootstrap_mean,accuracy_bootstrap_std,precision_ci_lower,precision_ci_upper,precision_bootstrap_mean,precision_bootstrap_std,recall_ci_lower,recall_ci_upper,recall_bootstrap_mean,recall_bootstrap_std,f1_score_ci_lower,f1_score_ci_upper,f1_score_bootstrap_mean,f1_score_bootstrap_std,pr_auc_ci_lower,pr_auc_ci_upper,pr_auc_bootstrap_mean,pr_auc_bootstrap_std,roc_auc_ci_lower,roc_auc_ci_upper,roc_auc_bootstrap_mean,roc_auc_bootstrap_std,fpr_ci_lower,fpr_ci_upper,fpr_bootstrap_mean,fpr_bootstrap_std,fnr_ci_lower,fnr_ci_upper,fnr_bootstrap_mean,fnr_bootstrap_std
isolation_forest_plus_quantum_kernel_svc_ibm_hardware,IBM hardware feasibility,2000,score-level bootstrap on 10-sample hardware feasibility test,Sample size is too small for strong performance claims. Use only as hardware feasibility uncertainty evidence.,0.7,0.625,1.0,0.769231,0.6,0.0,2.0,3.0,0.0,5.0,10,0.525952,0.52,0.4,1.0,0.700952,0.146619,0.28125,1.0,0.623733,0.17775,1.0,1.0,1.0,0.0,0.438889,1.0,0.752769,0.143218,0.25,1.0,0.588599,0.189648,0.0,1.0,0.52593,0.223746,0.0,1.0,0.593493,0.236081,0.0,0.0,0.0,0.0
isolation_forest_plus_vqc_ibm_hardware,IBM hardware feasibility,2000,score-level bootstrap on 10-sample hardware feasibility test,Sample size is too small for strong performance claims. Use only as hardware feasibility uncertainty evidence.,0.6,0.571429,0.8,0.666667,0.6,0.2,2.0,3.0,1.0,4.0,10,0.668333,0.72,0.3,0.9,0.599749,0.157495,0.166667,1.0,0.56956,0.19651,0.333333,1.0,0.800142,0.191518,0.222222,0.923077,0.644967,0.171282,0.352282,1.0,0.729911,0.194884,0.290923,1.0,0.721945,0.202229,0.0,1.0,0.596743,0.239493,0.0,0.666667,0.199858,0.191518
